,symbol,link_part,masterFund,subFund,link,volatility
0,PCS91A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a2,Parasolowy FIO,PKO Obligacji Długoterminowych A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS91A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a2#moreInfo,268.1868035761773
0,PCS91A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a1,Parasolowy FIO,PKO Obligacji Długoterminowych A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS91A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych-a1#moreInfo,1003.3252015273714
0,PCS91,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych,Parasolowy FIO,PKO Obligacji Długoterminowych,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS91/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-obligacji-dlugoterminowych#moreInfo,1549.8109918991638
0,PCS65A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a3,Parasolowy FIO,PKO Medycyny i Demografii Globalny A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS65A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a3#moreInfo,152.12589624584487
0,PCS65A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a2,Parasolowy FIO,PKO Medycyny i Demografii Globalny A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS65A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a2#moreInfo,153.192734567867
0,PCS65A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a1,Parasolowy FIO,PKO Medycyny i Demografii Globalny A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS65A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny-a1#moreInfo,275.1630934534515
0,PCS65,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny,Parasolowy FIO,PKO Medycyny i Demografii Globalny,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS65/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-medycyny-i-demografii-globalny#moreInfo,227.37471637651768
0,PCS34A3,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a3,Parasolowy FIO,PKO Infrastruktury i Budownictwa Globalny A3,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS34A3/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a3#moreInfo,156.96922464525622
0,PCS34A2,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a2,Parasolowy FIO,PKO Infrastruktury i Budownictwa Globalny A2,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS34A2/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a2#moreInfo,156.9772373336219
0,PCS34A1,pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a1,Parasolowy FIO,PKO Infrastruktury i Budownictwa Globalny A1,https://www.analizy.pl/fundusze-inwestycyjne-otwarte/PCS34A1/pko-parasolowy-fundusz-inwestycyjny-otwarty-subfundusz-infrastruktury-i-budownictwa-globalny-a1#moreInfo,191.40979422059266
